Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
366,Female,Rural,"50,001 - 1,00,000",Amravati,Anjangaon Surji,OBC,58,65.6,27,20,21,26,73,27,0.053239946,,302644,0.317497357,0
367,Female,Rural,"15,001 - 50,000",Washim,Mangrulpir,OBC,57,57.6,80,78,81,79,82,80,68.3243751,24.0832638,45301,68.3243751,1
368,Male,Urban,"1,50,001 - 2,00,000",Akola,Akola,Open,44,60.4,84,83,87,86,85,85,48.8491306,1.8284107,65986,48.8491306,1
369,Female,Urban,"15,001 - 50,000",Yavatmal,Digras,DT/VJ,56,70.4,41,48,41,51,63,57.54,50.7987581,,64548,50.7987581,1
370,Male,Rural,"50,001 - 1,00,000",Akola,Murtijapur,SC,84,81.4,20,30,20,24,84,27,0.528545166,,367627,0.684620151,0
371,Female,Urban,"50,001 - 1,00,000",Akola,Akola,OBC,60,78.8,23,30,23,21,86,28,0.910545243,,549245,0.067246307,0
372,Female,Rural,"15,001 - 50,000",Wardha,Wardha,SC,63,71.4,84,83,82,86,78,83.17,21.1515665,,88127,21.1515665,1
373,Male,Rural,"15,001 - 50,000",Buldhana,Sangrampur,OBC,69,76.6,22,25,28,25,81,22,0.949626846,,559759,0.610908408,0
374,Female,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,OBC,89,78.6,26,27,31,23,84,26,0.474360594,56.8052882,494236,0.233859499,0
375,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,OBC,74,71.2,26,20,20,26,80,33,0.927604797,38.9232685,441002,0.076102454,0
376,Female,Urban,"50,001 - 1,00,000",Akola,Akola,OBC,60,78.8,92,93,92,94,86,91.33,56.2588494,,58753,56.2588494,1
377,Female,Rural,"50,001 - 1,00,000",Amravati,Daryapur,OBC,57,65.2,28,26,20,33,67,26,0.581068174,,414371,0.385067081,0
378,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,55,73.2,32,22,21,25,41,20,0.03703893,,251945,0.962640621,0
379,Female,Rural,"15,001 - 50,000",Akola,Akola,NT 2 (NT-C),62,71.6,60,64,91,85,52,71.38,44.3547118,,84,44.3547118,1
380,Female,Rural,"15,001 - 50,000",Amravati,Warud,SC,69,70.8,81,84,87,86,86,84.5,48.3716233,,66419,48.3716233,1
381,Male,Rural,"4,00,001 - 4,50,000",Yavatmal,Digras,Open,61,60.2,21,24,22,21,87,22,0.797506082,,319327,0.629501264,0
382,Male,Urban,"6,00,001 - 7,00,000",Wardha,Ashti,OBC,95,88,22,27,29,27,95,24,0.488843202,36.9675296,382676,0.368343742,0
383,Male,Rural,"50,001 - 1,00,000",Buldhana,Motala,OBC,72,73.2,93,87,85,88,85,87.33,48.4337349,42.4794695,66219,48.4337349,1
384,Male,Rural,"50,001 - 1,00,000",Wardha,Seloo,OBC,74,81.8,24,30,20,28,90,31,0.239174288,68.8217853,128298,0.04479653,0
385,Female,Rural,"15,001 - 50,000",Yavatmal,Darwha,OBC,95,80.6,70,82,78,78,75,77.33,47.8943798,25.2382416,67038,47.8943798,1
386,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,NT 2 (NT-C),77,71.6,48,40,59,37,44,52.31,,44.924563,39974,44.924563,1
387,Male,Rural,"15,001 - 50,000",Wardha,Arvi,OBC,90,77,75,83,82,83,82,80.67,50.7987581,68.3906504,20906,68.3906504,1
388,Female,Urban,"3,50,001 - 4,00,000",Yavatmal,Yavatmal,OBC,73,73.2,91,91,89,93,87,90.67,72.8984215,54.7510975,39515,72.8984215,1
389,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,54,73.8,25,29,21,29,84,29,0.222589698,,251455,0.706720397,0
390,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,71,73.8,32,28,23,27,73,25,0.045987776,49.522898,363455,0.863919614,0
391,Male,Rural,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,89,84.2,93,85,83,88,90,88.5,74.2590255,,38093,74.2590255,1
392,Female,Urban,"15,001 - 50,000",Washim,Karanja,Open,78,80.8,85,83,88,85,81,82.83,41.0748854,,19,41.0748854,1
393,Female,Rural,"6,00,001 - 7,00,000",Amravati,Achalpur,OBC,92,86.2,26,24,28,27,87,29,0.737059078,,139770,0.98662608,0
394,Female,Urban,">= 15,00,001",Amravati,Amravati,Open,96,89,26,21,32,28,94,29,0.243625571,67.4921132,140999,0.848899273,0
395,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,Not Applicable,69,69.8,86,82,77,90,75,83.33,32.2078055,,93574,32.2078055,1
396,Male,Rural,"50,001 - 1,00,000",Amravati,Dhamangaon Railway,OBC,91,79.6,70,68,83,71.5,81,74.17,74.2881116,,3,74.2881116,1
397,Male,Rural,"15,001 - 50,000",Amravati,Achalpur,OBC,57,66.6,80,80,79,85,74,80.5,75.66613,,36221,75.66613,1
398,Male,Rural,"50,001 - 1,00,000",Amravati,Amravati,OBC,60,42.8,70,74,71,78.5,64,72.67,,19.2925873,71,19.2925873,1
399,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,83,70.8,81,80,75,89.5,75,81.67,51.2157744,,63805,51.2157744,1
400,Female,Rural,"15,001 - 50,000",Washim,Mangrulpir,OBC,95,85.8,83,86,81,86,81,83,72.5725827,50.0642404,40409,72.5725827,1
401,Female,Rural,"15,001 - 50,000",Akola,Akola,SC,73,63,75,74,74,75,75,74.33,71.2480897,,41450,71.2480897,1
402,Male,Rural,"15,001 - 50,000",Nagpur,Narkhed,OBC,94,86.6,30,31,26,23,88,22,0.341599884,65.6518983,391229,0.451435046,0
403,Female,Rural,"4,50,001 - 5,00,000",Amravati,Nandgaon-Khandeshwar,OBC,53,59.2,86,82,78,87,71,79.33,73.9633214,,38368,73.9633214,1
404,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,58,61.6,21,32,25,24,73,20,0.40031216,44.8141858,293065,0.006698475,0
405,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,50,47.16,86,85,81,90,83,85.83,44.3547118,,70569,44.3547118,1
406,Male,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,86,72.6,82,85,71,76,74,77.67,75.1095262,,36685,75.1095262,1
407,Female,Rural,"15,001 - 50,000",Wardha,Karanja,OBC,85,83.8,92,84,84,91,89,88.33,45.9812986,,68411,45.9812986,1
408,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,69,64.6,80,83,81,86,76,82,17.0555392,,91409,17.0555392,1
409,Male,Rural,"4,00,001 - 4,50,000",Yavatmal,Digras,Open,61,60.2,94,94,88,93,87,91,20.6305511,,40,20.6305511,1
410,Male,Rural,"15,001 - 50,000",Amravati,Achalpur,OBC,56,66.4,77,58,70,83,48,68.92,69.989339,,43400,69.989339,1
411,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,48,66.2,81,78,70,85,86,80.83,76.4866569,,34798,76.4866569,1
412,Female,Urban,"2,00,001 -2,50,000",Akola,Akot,OBC,66,71.6,85,88,89,88,86,86.83,84.6567494,,23384,84.6567494,1
413,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,SC,92,79.4,86,88,79,87,82,83.5,61.5287969,,53025,61.5287969,1
414,Female,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,Open,70,65.4,29,23,26,33,76,32,0.636274468,,240120,0.25565512,0
415,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,OBC,92,79.8,79,82,79,89,90,82.33,26.9383597,,29,26.9383597,1
416,Male,Rural,"15,001 - 50,000",Jalna,Ghansawangi,SBC,74,63.2,22,21,31,24,83,83.67,10.0211076,,95545,10.0211076,1
417,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,Open,75,69.2,31,22,21,27,90,26,0.382616878,,394443,0.357091989,0
418,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,OBC,82,68,32,29,20,31,80,25,0.80515802,34.4180463,389822,0.946235309,0
419,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,NT 1 (NT-B),87,73.8,92,94,93,97,92,94.17,69.0488353,61.0778793,44399,69.0488353,1
420,Male,Urban,"0 - 15,000",Amravati,Anjangaon Surji,OBC,68,66.6,33,29,32,26,80,33,0.856904361,,300061,0.447655373,0
421,Male,Rural,"15,001 - 50,000",Amravati,Teosa,SC,73,72.8,25,30,33,29,77,29,0.083608459,,177601,0.783501374,0
422,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,86,74.2,85,88,82,89.5,82,86,84.4255069,57.4493525,23777,84.4255069,1
1,Male,Rural,"5,00,001 - 5,50,000",Amravati,Malkapur,SC,81,88.8,90,93,89,97,92,91,71.0624183,,41733,71.0624183,1
2,Female,Rural,"15,001 - 50,000",Akola,Mangrulpir,OBC,76,86.6,23,30,27,31,88,27,0.167813391,50.4381119,198823,0.727670239,0
3,Male,Rural,"15,001 - 50,000",Amravati,Karanja,NT 1 (NT-B),91,71.6,84,87,83,85,88,85.33,70.8255491,,42269,70.8255491,1
4,Male,Rural,"15,001 - 50,000",Washim,Motala,OBC,73,72,67,65,64,74,70,67.33,61.5287969,,52927,61.5287969,1
5,Female,Urban,"15,001 - 50,000",Wardha,Amravati,OBC,74,77.2,22,24,24,30,87,21,0.476073763,57.4551241,130124,0.055538444,0
6,Male,Urban,"2,00,001 -2,50,000",Amravati,Amravati,OBC,70,64.6,33,28,22,30,77,31,0.164897821,21.950434,548080,0.968924293,0
7,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,85,82.6,30,32,25,26,89,27,0.775367366,,165131,0.822942839,0
8,Female,Urban,"50,001 - 1,00,000",Buldana,Nagpur (Urban),OBC,72,72.2,83,84,79,83,87,83.5,40.2546574,65.0714882,23936,65.0714882,1
9,Female,Rural,"50,001 - 1,00,000",Amravati,Ghatanji,OBC,77,68.8,81,83,81,82,84,82.5,44.5236882,42.3093405,70129,44.5236882,1
10,Male,Rural,"15,001 - 50,000",Amravati,Warud,OBC,88,81.2,30,23,28,33,76,25,0.423225945,22.0127805,592815,0.763810909,0
11,Male,Rural,"15,001 - 50,000",Amravati,Telhara,OBC,61,58,80,79,78,85,75,80.33,65.83909,6.1678318,48473,65.83909,1
12,Female,Rural,"15,001 - 50,000",Amravati,Mangrulpir,OBC,95,85.8,31,32,24,31,81,32,0.029791206,50.0642404,392381,0.913919708,0
13,Male,Urban,"50,001 - 1,00,000",Amravati,Morshi,OBC,59,77.8,89,89,90,90,87,89,14.5140215,51.4829007,92867,14.5140215,1
14,Female,Rural,"15,001 - 50,000",Chandrapur,Achalpur,NT 1 (NT-B),74,74,33,33,31,23,90,20,0.975249127,,435020,0.304414521,0
15,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,63,66,86,81,85,86,76,83.17,70.7140758,,43053,70.7140758,1
16,Male,Rural,"50,001 - 1,00,000",Amravati,Babulgaon,OBC,65,56.8,76,79,82,86,77,81,24.3861135,,33,24.3861135,1
17,Female,Urban,"1,00,001 - 1,50,000",Amravati,Nagpur (Urban),OBC,86,86.8,90,90,90,89.5,90,89.83,43.0893887,23.5561366,71217,43.0893887,1
18,Male,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,SC,76,60,24,32,24,20,71,26,0.443454474,,441105,0.361888481,0
19,Female,Rural,"15,001 - 50,000",Yavatmal,Nandgaon-Khandeshwar,NT 3 (NT-D),79,77.8,67,70,78,76,67,69,11.5274226,,94588,11.5274226,1
20,Male,Urban,"15,001 - 50,000",Amravati,Arvi,OBC,81,73.2,20,31,31,28,83,28,0.380146262,,236615,0.499495358,0
21,Male,Urban,"5,50,001 - 6,00,000",Amravati,Buldana,Open,85,77.6,92,86,86,92,93,89.33,72.1238249,60.9135106,41005,72.1238249,1
22,Female,Urban,"15,001 - 50,000",Wardha,Amravati,OBC,90,87,95,94,97,97,88,93.83,85.1655088,,22592,85.1655088,1
23,Female,Rural,"15,001 - 50,000",Amravati,Bhatkuli,NT 1 (NT-B),64,83.4,32,24,28,26,83,25,0.507683031,,550183,0.762875513,0
24,Female,Rural,"50,001 - 1,00,000",Amravati,Ner,Open,61,71.8,24,31,31,27,88,27,0.655373007,,308091,0.223500573,0
25,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,65,77,82,79,80,80,76,79.5,46.0655482,3.5164188,68173,46.0655482,1
26,Male,Urban,"15,001 - 50,000",Wardha,Karanja,SC,43,66.4,26,32,33,30,50,29,0.666000316,,583192,0.223459772,0
27,Male,Rural,"2,50,001 - 3,00,000",Amravati,Amravati,OBC,95,92,92,94,91,96.5,94,94,48.4337349,25.5480376,66041,48.4337349,1
28,Male,Rural,"50,001 - 1,00,000",Amravati,Akola,OBC,84,77.2,92,92,92,91,91,91.5,,33.4359106,47064,33.4359106,1
29,Male,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,Open,68,75.2,89,90,81,89,86,87.5,37.8436353,,69,37.8436353,1
30,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,72,74.2,27,32,21,23,91,31,0.049216272,,446220,0.243925661,0
31,Female,Urban,"7,00,001 - 8,00,000",Amravati,Morshi,Open,71,67,86,77,77,87,83,81.67,20.4998738,,41,20.4998738,1
32,Female,Rural,"15,001 - 50,000",Washim,Morshi,OBC,90,87.6,94,92,90,88,85,89.33,30.4266599,12.2100468,81419,30.4266599,1
33,Female,Urban,"15,001 - 50,000",Amravati,Digras,DT/VJ,56,70.4,24,20,31,21,63,33,0.353204779,,463881,0.556960115,0
34,Male,Rural,"15,001 - 50,000",Wardha,Nandgaon-Khandeshwar,SC,66,80.8,83,79,60,0,84,78.8,79.541581,,30778,79.541581,1
35,Male,Rural,"50,001 - 1,00,000",Amravati,Chandurbazar,OBC,90,86.4,91,86,84,91,87,87,20.4998738,,82,20.4998738,1
36,Male,Rural,"50,001 - 1,00,000",Amravati,Babulgaon,OBC,65,56.8,26,28,22,26,77,26,0.649917185,,375434,0.715896635,0
37,Male,Rural,"15,001 - 50,000",Amravati,Gondpipri,OBC,42,56.6,32,31,33,24,75,22,0.842369975,22.4427514,417772,0.496132903,0
38,Female,Urban,"3,50,001 - 4,00,000",Amravati,Darwha,OBC,93,88.4,27,29,29,24,88,32,0.516901887,,202236,0.612673083,0
39,Male,Rural,"15,001 - 50,000",Amravati,Mangrulpir,SC,91,80.8,23,26,27,26,39,23,0.014368107,,505802,0.700793924,0
40,Male,Urban,"9,00,001 - 10,00,000",Yavatmal,Amravati,Open,83,62.2,20,25,33,29,87,22,0.042784574,,338033,0.075633429,0
41,Female,Urban,"15,001 - 50,000",Bhandara,Amravati,OBC,53,57.4,25,20,25,26,68,25,0.324803502,,497624,0.366377736,0
42,Male,Rural,"50,001 - 1,00,000",Amravati,Motala,OBC,72,73.2,26,22,31,29,85,30,0.420925466,42.4794695,176178,0.187336176,0
43,Female,Rural,"50,001 - 1,00,000",Amravati,Arjuni Morgaon,OBC,99,91.2,26,24,29,25,82,22,0.205050705,82.9806952,509823,0.107596201,0
44,Female,Rural,"15,001 - 50,000",Wardha,Amravati,OBC,84,77.6,78,76,79,81,78,78.17,44.1945416,,16,44.1945416,1
45,Male,Rural,"15,001 - 50,000",Buldana,Dhamangaon Railway,OBC,69,67.6,32,23,31,32,73,30,0.897228281,,358570,0.435738712,0
46,Female,Urban,"4,50,001 - 5,00,000",Akola,Amravati,Open,85,90.8,29,33,30,28,81,24,0.002853704,36.2864691,147016,0.715609707,0
47,Male,Rural,"50,001 - 1,00,000",Wardha,Sangrampur,SC,90,79.2,88,84,85,89,83,85.17,61.2512455,,54014,61.2512455,1
48,Male,Rural,"15,001 - 50,000",Wardha,Karanja,OBC,92,77.6,21,25,20,27,87,26,0.198831145,,459527,0.42522593,0
49,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,64,64.4,22,21,25,22,78,20,0.201336025,10.6125755,181605,0.943099254,0
50,Male,Rural,"15,001 - 50,000",Amravati,Ashti,SC,61,78.8,32,32,28,26,83,31,0.212814786,,581904,0.07453168,0
51,Female,Rural,"15,001 - 50,000",Buldana,Arvi,SC,92,87.4,93,93,93,96,87,92.33,,57.3181535,30508,57.3181535,1
52,Female,Rural,"15,001 - 50,000",Washim,Chamorshi,OBC,78,77.8,87,86,85,84.5,86,85.5,65.8083801,48.991701,48731,65.8083801,1
53,Male,Rural,"15,001 - 50,000",Amravati,Narkhed,OBC,94,86.6,83,91,84,85,88,87,64.0315795,65.6518983,50113,64.0315795,1
54,Male,Urban,"15,001 - 50,000",Chandrapur,Amravati,OBC,59,57.4,85,80,81,85,74,81.67,27.4174428,,83425,27.4174428,1
55,Male,Rural,"15,001 - 50,000",Yavatmal,Nandgaon-Khandeshwar,OBC,67,64.8,29,22,25,21,82,28,0.855347321,,363909,0.142890793,0
56,Female,Rural,"15,001 - 50,000",Amravati,Amravati,SC,71,79.4,88,82,87,88,72,83.33,69.3138732,,44205,69.3138732,1
57,Female,Rural,"4,00,001 - 4,50,000",Chandrapur,Deoli,OBC,63,76.6,21,29,25,25,89,24,0.627593123,,318001,0.474095628,0
58,Female,Urban,">= 15,00,001",Amravati,Amravati,Open,96,89,92,57,74,81,94,79.6,,67.4921132,21770,67.4921132,1
59,Male,Urban,"15,001 - 50,000",Amravati,Morshi,OBC,83,79.2,81,93,89,84,86,84.67,,37.4585688,74,37.4585688,1
60,Male,Rural,"15,001 - 50,000",Yavatmal,Khamgaon,OBC,92,89,30,29,21,26,84,30,0.26682169,,143893,0.092543096,0
61,Male,Urban,"15,001 - 50,000",Chandrapur,Daryapur,SBC,89,77.2,30,28,22,27,83,27,0.526505435,,249080,0.177867905,0
62,Male,Rural,"15,001 - 50,000",Amravati,Babulgaon,OBC,72,78.8,23,29,22,20,79,23,0.542584778,,459274,0.6526162,0
63,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,OBC,92,79.8,22,33,26,28,90,31,0.904314645,,329035,0.727695697,0
64,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,65,68.2,20,24,32,27,81,31,0.494412055,31.7673835,410643,0.458068976,0
65,Female,Rural,"15,001 - 50,000",Amravati,Chandurbazar,OBC,86,77,85,84,76,90,76,83.5,12.6435576,34.9084435,46215,34.9084435,1
66,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,OBC,77,81.4,23,25,24,33,81,23,0.887760248,,269059,0.395968644,0
67,Male,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,OBC,64,64.2,27,26,24,33,76,23,0.916035964,,324297,0.108480291,0
68,Female,Rural,"50,001 - 1,00,000",Amravati,Arni,OBC,82,80.8,79,76,73,86,79,78.83,15.4129019,63.0663203,25596,63.0663203,1
69,Female,Rural,"15,001 - 50,000",Amravati,Bhatkuli,SC,53,73.8,45,45,37,79,65,52.83,5.9666949,,55,5.9666949,1
70,Male,Urban,"15,001 - 50,000",Amravati,Morshi,OBC,75,75,30,21,26,27,78,29,0.297693486,,350544,0.226019858,0
71,Female,Urban,"15,001 - 50,000",Amravati,Karanja,Open,78,80.8,29,22,27,25,81,25,0.572086504,,506938,0.82035005,0
72,Male,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,OBC,54,61.8,31,27,25,33,87,27,0.949990752,,357716,0.315730641,0
73,Male,Rural,"15,001 - 50,000",Chandrapur,Nandgaon-Khandeshwar,OBC,75,60.8,33,32,22,27,74,28,0.202243588,,264350,0.220640273,0
74,Male,Urban,"15,001 - 50,000",Amravati,Anjangaon Surji,NT 2 (NT-C),81,78,24,31,21,31,88,24,0.475191342,21.4130017,469452,0.053943679,0
75,Male,Urban,"4,50,001 - 5,00,000",Yavatmal,Amravati,Open,78,63.2,33,22,30,33,87,21,0.218118226,,473043,0.849082186,0
76,Male,Urban,"15,001 - 50,000",Amravati,Dhamangaon Railway,OBC,80,70.8,79,82,85,85,76,83,83.2948035,,25488,83.2948035,1
77,Male,Rural,"15,001 - 50,000",Wardha,Seloo,OBC,64,63.8,20,20,32,33,73,26,0.606359356,16.8738015,579958,0.042347225,0
78,Female,Urban,"15,001 - 50,000",Amravati,Malegaon,Open,66,71.6,21,28,24,32,59,30,0.670090254,,129869,0.739017488,0
79,Male,Urban,"15,001 - 50,000",Buldana,Amravati,OBC,91,81.6,85,87,83,86,69,82.67,48.4337349,42.406168,66182,48.4337349,1
80,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,63,66,33,24,20,24,76,21,0.07634894,,228743,0.908057244,0
81,Female,Urban,"50,001 - 1,00,000",Yavatmal,Daryapur,NT 2 (NT-C),62,73.6,81,80,79,77,81,79.83,28.7742003,,82964,28.7742003,1
82,Male,Rural,"15,001 - 50,000",Akola,Daryapur,SC,83,82.6,83,84,81,85,82,82.83,38.588067,,74881,38.588067,1
83,Female,Rural,"50,001 - 1,00,000",Washim,Ner,SC,62,70,90,89,88,90,87,88.5,5.4433898,,98010,5.4433898,1
84,Female,Urban,"15,001 - 50,000",Gondiya,Dhamangaon Railway,SC,91,77.2,85,82,81,87,87,84.83,28.7742003,23.837814,82986,28.7742003,1
85,Female,Rural,"4,50,001 - 5,00,000",Yavatmal,Nandgaon-Khandeshwar,OBC,53,59.2,25,23,28,32,71,24,0.966870386,,315153,0.56618785,0
86,Male,Rural,"15,001 - 50,000",Amravati,Arvi,NT 1 (NT-B),49,57.2,80,75,80,0,75,77.83,9.3096071,,95762,9.3096071,1
87,Female,Rural,"15,001 - 50,000",Amravati,Mehkar,OBC,82,80.6,29,28,23,30,92,22,0.837884202,,356695,0.62010042,0
88,Female,Urban,"8,00,001 - 9,00,000",Wardha,Chandurbazar,Open,66,79.2,87,90,91,88,88,88.67,37.427407,65.3690155,70,37.427407,1
89,Male,Urban,"5,50,001 - 6,00,000",Akola,Achalpur,NT 2 (NT-C),69,80.6,27,20,21,32,86,33,0.873649389,66.7098185,438004,0.228390783,0
90,Male,Rural,"50,001 - 1,00,000",Amravati,Akola,Open,72,73.8,25,29,24,25,48,22,0.839864711,,339926,0.162937719,0
91,Male,Urban,"15,001 - 50,000",Amravati,Deoli,SC,35,38.6,30,26,30,29,57,22,0.889158972,63.0663203,533426,0.06459564,0
92,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,72,68.2,32,31,22,32,78,27,0.003931052,,289373,0.305965362,0
93,Male,Rural,"50,001 - 1,00,000",Buldana,Akola,OBC,84,77.2,23,27,23,32,91,31,0.330576309,33.4359106,313002,0.729147558,0
94,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,57,68.8,20,23,23,32,69,28,0.688724206,,104924,0.445618914,0
95,Male,Urban,"15,001 - 50,000",Amravati,Jalgaon (Jamod),Open,88,84.4,33,31,25,22,83,23,0.434945069,66.4565571,564370,0.583241715,0
96,Male,Rural,"2,00,001 -2,50,000",Akola,Achalpur,Open,86,81.8,29,20,20,32,80,24,0.790764621,50.4381119,133200,0.992939838,0
97,Male,Rural,"15,001 - 50,000",Wardha,Warud,OBC,88,81.2,84,87,79,92,76,84.17,63.7162333,22.0127805,50582,63.7162333,1
98,Female,Urban,"15,001 - 50,000",Yavatmal,Amravati,OBC,89,86.4,24,29,27,30,86,20,0.86717229,28.9010198,109863,0.60635043,0
99,Male,Urban,"50,001 - 1,00,000",Amravati,Karanja,OBC,69,68.2,22,21,29,24,72,32,0.592664419,38.9334476,312649,0.707358033,0
100,Female,Rural,"15,001 - 50,000",Amravati,Chandurbazar,Open,89,91.8,94,91,86,93,87,90.17,0.7063834,,100462,0.7063834,1
101,Male,Urban,"2,00,001 -2,50,000",Wardha,Amravati,Open,82,82.8,90,89,86,96,86,90.5,61.3942986,,53359,61.3942986,1
102,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,64,76,32,21,28,25,89,28,0.675946735,62.9455594,463302,0.036351236,0
103,Female,Urban,"15,001 - 50,000",Akola,Amravati,OBC,90,87,26,21,20,24,88,26,0.581618482,,123452,0.841983181,0
104,Male,Rural,"15,001 - 50,000",Amravati,Washim,NT 3 (NT-D),94,89.6,95,94,91,94,94,92.33,12.6435576,11.0471807,93848,12.6435576,1
105,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,76,79.8,82,87,85,81.5,85,83.67,37.3800409,33.8125681,23,37.3800409,1
106,Male,Rural,"15,001 - 50,000",Wardha,Mangrulpir,SC,91,80.8,67,67,82,69,39,67.69,17.6622065,,43,17.6622065,1
107,Female,Rural,"15,001 - 50,000",Amravati,Teosa,SC,60,52.8,30,24,22,25,68,28,0.294692421,,123682,0.996131445,0
108,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,Open,80,86.4,22,27,21,29,90,27,0.837065102,,277953,0.231327985,0
109,Male,Urban,"2,00,001 -2,50,000",Amravati,Amravati,Open,55,68.6,29,27,28,25,87,27,0.613750503,8.1082247,348953,0.367490272,0
110,Male,Rural,"15,001 - 50,000",Amravati,Pusad,NT 1 (NT-B),35,39.6,29,30,30,29,70,26,0.61824197,,462607,0.034038818,0
111,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,NT 3 (NT-D),79,77.8,32,27,33,25,67,31,0.046921955,,213521,0.166508128,0
112,Male,Urban,"15,001 - 50,000",Wardha,Amravati,Open,86,74.2,30,33,22,24,82,25,0.21497429,57.4493525,407127,0.001967324,0
113,Male,Rural,"15,001 - 50,000",Akola,Kalamnuri,Open,91,76.2,90,90,94,94,93,92.17,41.6222736,,72157,41.6222736,1
114,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),70,68.8,75,76,84,76,75,75.5,17.656648,,44,17.656648,1
115,Female,Rural,"15,001 - 50,000",Amravati,Darwha,OBC,95,80.6,23,29,28,33,75,24,0.999686319,25.2382416,202176,0.574182614,0
116,Female,Rural,"50,001 - 1,00,000",Amravati,Darwha,OBC,94,89,82,87,87,88,90,86.33,70.8255491,25.3721987,42234,70.8255491,1
117,Male,Urban,"15,001 - 50,000",Amravati,Chandrapur,OBC,91,83.2,30,22,21,27,78,21,0.959570106,79.9425304,180825,0.11363586,0
118,Female,Rural,"50,001 - 1,00,000",Amravati,Amravati,OBC,83,72.4,81,77,84,78,86,82.17,41.5574493,,72570,41.5574493,1
119,Male,Urban,"15,001 - 50,000",Amravati,Karanja,SC,43,66.4,64,65,81,0,50,68,51.8984054,,63260,51.8984054,1
120,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,53,57.4,71,71,73,81.5,68,74.33,37.8436353,,22,37.8436353,1
121,Male,Urban,"15,001 - 50,000",Buldana,Chandrapur,OBC,91,83.2,88,85,84,85,78,84.17,92.7475757,79.9425304,11103,92.7475757,1
122,Female,Urban,"7,00,001 - 8,00,000",Akola,Amravati,OBC,83,78.6,86,86,75,0,85,85.83,61.7065716,42.1687901,52716,61.7065716,1
123,Female,Rural,"15,001 - 50,000",Amravati,Arvi,OBC,87,81.4,96,90,93,95,85,91.33,51.8151982,,63648,51.8151982,1
124,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,SC,92,79.4,33,31,29,30,82,29,0.474691974,,414284,0.82968325,0
125,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,Open,90,83.4,89,88,88,89,92,89.83,51.9482809,,63004,51.9482809,1
126,Female,Rural,"15,001 - 50,000",Amravati,Babulgaon,Open,58,59.33,31,21,33,26,83,28,0.710714222,,412951,0.5797151,0
127,Male,Rural,"15,001 - 50,000",Amravati,Hinganghat,SC,65,62.4,27,25,30,26,55,32,0.713847556,,134123,0.575362361,0
